PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20-21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,H49,H50,H51,H52-53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71-72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A01,777,30,0,3,2791,27,1,0,0,0,55,6,0,0,2,0,4,1,0,0,0,1,1,0,7,26,137,21,5,0,0,139,1,0,0,6,1,0,0,27,23,22,2,2,19,1,1,19,7,25,51,16,5,80,7,0,5,0,0,4353,1851,0,0,1851,68,0,-19,-19,49,,,,,522,2422,6775
A02,3,136,0,7,14,1,2062,1153,6,6,11,1,2,1,1,0,0,0,0,0,4,1,61,0,6,48,42,6,0,0,4,0,0,0,0,9,0,0,0,9,14,12,0,0,24,0,0,1,7,0,0,0,0,0,0,0,0,0,0,3655,123,0,0,123,164,0,881,881,1045,,,,,92,1261,4915
A03,2,0,0,0,58,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,8,0,0,195,0,0,0,0,0,0,0,1,2,1,0,0,3,1,0,0,1,2,4,0,1,7,0,0,0,0,0,313,56,0,0,56,0,0,0,0,0,,,,,1351,1407,1719
B,36,1,1,232,2,0,24,78,0,7954,101,11,121,2156,46,0,6,13,0,0,1,19,398,18,83,686,139,17,0,0,167,1,0,0,2,34,0,0,0,66,53,64,0,5,25,0,0,11,5,0,0,0,2,2,2,0,0,0,0,12583,36,0,0,36,85,0,-80,-80,5,,,,,2327,2368,14951
C10-12,641,1,0,3,2689,11,0,80,1,6,100,1,1,0,1,0,1,1,1,0,3,2,9,0,7,10,302,27,77,8,4,1654,1,0,0,17,21,5,1,36,72,39,5,27,52,9,5,18,130,246,232,197,26,91,2,1,7,0,0,6891,11425,0,9,11434,0,0,-73,-73,-73,,,,,3658,15019,21910
C13-15,4,2,10,3,8,220,1,47,1,0,4,10,14,7,22,3,3,36,72,8,59,11,6,0,3,48,62,12,6,1,18,29,3,10,10,13,2,1,0,10,10,29,2,2,8,2,0,5,45,12,108,31,14,12,4,0,4,0,0,1068,2926,0,0,2926,0,0,23,23,23,,,,,1905,4855,5923
C16,13,35,11,27,13,4,1065,632,4,5,19,18,21,18,68,9,29,68,12,18,343,26,454,7,9,2051,150,33,3,0,44,10,3,11,2,18,0,0,0,410,34,94,6,6,32,6,1,17,9,15,4,1,20,13,6,1,47,0,0,5977,373,0,0,373,0,0,63,63,63,,,,,3257,3693,9670
C17,3,12,1,8,320,8,33,1645,531,1,57,40,24,16,25,9,40,43,9,3,49,9,57,2,20,28,156,28,3,1,24,14,107,2,21,94,13,1,1,61,61,159,33,18,77,7,1,27,38,74,84,30,7,12,13,4,10,0,0,4235,296,0,33,329,0,0,85,85,85,,,,,9623,10037,14272
C18,1,1,0,4,11,1,10,13,342,0,4,4,0,11,12,21,3,22,12,2,4,6,6,1,6,22,121,32,5,0,29,18,589,43,69,232,50,5,2,69,81,197,93,21,36,10,25,31,38,94,29,6,39,16,13,9,0,0,0,2582,0,0,0,0,0,0,1,1,1,,,,,4,5,2587
C19,215,91,23,115,69,9,45,174,3,489,810,22,142,299,64,5,27,70,35,10,16,33,299,11,110,490,369,975,410,462,182,30,7,6,21,36,10,1,3,127,72,95,6,10,56,51,12,41,93,22,23,30,9,13,15,2,10,0,0,6906,1683,0,0,1683,0,0,-376,-376,-376,,,,,7984,9292,16197
C20-21,227,16,2,101,94,101,109,774,67,106,1411,815,90,124,149,80,46,111,90,11,145,34,322,77,29,181,310,79,5,0,44,30,48,7,9,57,1,0,0,101,57,267,7,28,377,14,0,62,20,29,139,10,18,15,14,4,64,0,0,7970,795,0,0,795,0,0,336,336,336,,,,,6817,7948,15918
C22,3,2,1,20,335,22,52,135,14,27,112,237,53,21,70,68,151,275,362,35,125,53,11,12,50,522,427,75,1,0,36,56,17,2,8,62,10,0,1,96,49,158,14,12,54,7,0,29,72,31,139,6,8,10,5,8,16,0,0,4209,467,0,38,505,0,0,60,60,60,,,,,2686,3251,7460
C23,25,1,0,71,112,12,129,11,0,3,32,15,336,56,75,7,40,50,97,8,35,14,28,11,15,1843,94,20,0,0,13,27,2,1,0,8,0,0,0,238,11,66,0,1,13,1,0,15,6,5,24,1,4,1,0,3,10,0,0,3595,237,0,0,237,0,0,-2,-2,-2,,,,,838,1073,4668
C24,12,0,0,27,0,17,30,20,6,35,82,95,75,3777,1624,129,727,928,868,57,211,251,38,16,124,584,374,10,1,1,40,2,5,0,11,109,0,0,0,48,112,350,0,2,51,3,0,24,8,8,0,0,0,1,1,11,7,0,0,10914,7,0,0,7,0,0,109,109,109,,,,,9276,9393,20307
C25,6,6,2,52,166,11,112,11,2,33,64,61,60,311,1559,90,322,1446,554,158,168,321,20,92,72,1168,375,53,11,1,71,10,27,7,82,86,1,0,1,190,71,387,11,6,45,7,1,42,146,34,15,4,6,8,15,6,18,0,0,8610,372,0,0,372,2124,0,77,77,2201,,,,,3740,6313,14923
C26,1,0,1,5,5,2,4,6,3,0,58,8,2,3,51,2544,427,440,41,48,165,75,18,9,4,132,137,4,1,0,15,4,14,3,133,799,3,1,0,14,35,703,5,14,311,6,4,17,26,26,111,14,4,3,3,53,3,0,0,6529,1446,0,0,1446,3084,0,441,441,3524,,,,,13624,18594,25123
C27,1,4,1,12,3,4,45,8,0,1,3,9,2,29,134,290,363,315,109,98,63,182,72,8,3,467,118,20,4,1,40,31,12,0,35,134,3,1,0,111,23,189,7,4,61,3,1,14,28,19,19,2,12,3,3,33,24,0,0,3183,683,0,0,683,1913,0,-50,-50,1863,,,,,5737,8283,11466
C28,91,45,0,58,45,7,59,116,3,67,10,33,19,96,119,94,96,1687,574,38,28,246,120,17,21,458,351,44,3,1,38,8,18,3,32,54,7,2,2,32,72,246,5,6,155,5,2,27,62,37,32,21,8,7,10,12,7,0,0,5460,211,0,0,211,7549,0,490,490,8039,,,,,13772,22022,27482
C29,4,0,0,5,3,1,0,0,0,0,2,5,1,3,123,2,17,731,4976,49,7,71,1,0,18,4,1537,51,0,0,18,3,0,0,3,21,0,0,0,9,82,381,0,0,121,2,0,35,1,0,6,0,0,3,0,2,0,0,0,8301,3743,0,0,3743,4157,0,470,470,4626,,,,,11617,19987,28288
C30,0,0,7,1,0,0,0,0,0,0,0,0,0,2,22,3,1,7,12,142,1,144,0,0,0,3,24,97,200,34,29,7,0,0,0,5,0,0,2,33,7,64,0,0,32,20,4,3,187,2,87,7,1,1,0,0,1,0,0,1192,294,0,0,294,804,0,-109,-109,695,,,,,1691,2680,3872
C31_32,0,0,0,1,3,4,1,0,0,0,5,3,1,3,42,57,8,33,28,1,281,29,0,0,0,83,67,4,1,0,10,29,8,6,3,35,2,1,2,32,24,56,13,60,20,5,2,9,67,50,704,35,29,21,25,3,29,0,0,1941,1972,0,69,2041,1328,0,-5,-5,1323,,,,,3350,6715,8656
C33,106,56,5,110,61,10,145,55,22,29,23,21,95,59,98,51,43,140,85,137,23,194,159,21,47,342,198,361,203,143,71,43,13,1,30,46,4,1,3,66,32,154,3,5,124,22,6,14,287,22,33,3,4,10,5,3,13,0,0,4085,63,0,0,63,618,0,0,0,618,,,,,308,989,5074
D,130,26,0,149,249,27,263,947,42,70,306,94,77,396,203,31,40,128,114,20,49,40,1004,88,64,157,539,190,1,7,184,153,19,26,31,67,8,43,3,845,88,120,14,8,91,8,16,50,292,204,248,141,66,87,83,4,9,0,0,8402,6764,0,0,6764,0,0,0,0,0,,,,,590,7354,15755
E36,0,0,0,6,53,1,5,8,1,4,19,1,4,5,8,1,2,8,10,1,7,2,48,1,18,14,27,1,0,0,17,17,2,6,0,5,0,8,1,1124,5,14,1,1,4,1,2,27,60,16,62,8,20,12,12,0,12,0,0,1695,0,0,0,0,0,0,0,0,0,,,,,0,0,1695
E37-39,10,8,0,116,28,5,69,234,9,37,31,26,16,1304,61,12,8,31,16,2,9,15,56,43,370,93,127,24,23,14,36,15,12,3,17,43,17,5,2,1419,35,63,6,5,24,6,6,41,51,42,41,36,14,13,10,2,4,0,0,4773,0,0,0,0,0,0,24,24,24,,,,,602,626,5399
F,114,31,1,61,61,5,31,32,8,13,33,13,16,35,50,15,17,69,56,22,18,27,391,72,30,333,433,126,8,3,383,127,18,12,49,61,92,128,5,7611,77,153,12,17,54,7,3,198,520,151,71,51,46,71,134,3,15,0,0,12212,15,0,0,15,27610,0,0,0,27610,,,,,0,27625,39837
G45,407,55,9,183,623,35,176,463,54,61,281,187,180,1070,528,344,317,827,612,103,156,215,194,38,388,1440,1513,1014,49,92,318,677,38,23,101,248,25,3,6,513,233,552,66,40,275,29,9,119,177,233,522,92,241,75,107,15,71,0,0,16513,24457,0,800,25257,3455,0,0,0,3455,,,,,15433,44146,60659
H49,22,8,5,134,249,16,411,522,19,34,87,51,164,81,84,19,40,125,138,9,48,31,56,15,148,727,790,2133,2,0,6732,55,67,6,40,132,24,3,4,170,128,222,32,10,111,11,124,42,278,514,18,33,32,52,113,7,4,0,0,15189,4813,0,268,5081,0,0,0,0,0,,,,,284,5365,20554
H50,0,1,0,26,45,2,77,64,7,73,16,4,33,45,44,5,13,30,25,1,8,5,3,0,9,6,67,21,379,0,878,15,25,0,5,16,1,0,0,12,15,22,2,0,19,38,11,6,18,2,0,0,1,1,0,0,0,0,0,2099,169,0,0,169,0,0,0,0,0,,,,,2595,2764,4863
H51,6,6,0,5,13,3,10,11,4,1,4,6,4,8,28,7,7,26,19,2,10,7,7,0,11,23,115,36,7,2,333,25,12,6,16,46,10,2,4,43,49,77,13,12,21,12,945,27,85,62,25,19,20,15,33,1,7,0,0,2348,1204,0,7,1211,0,0,0,0,0,,,,,1169,2380,4728
H52-53,23,15,7,176,662,36,781,1026,45,105,204,107,256,253,213,38,113,267,334,35,112,78,81,21,140,57,2689,1020,652,415,1326,132,133,7,9,147,0,2,1,81,129,150,7,5,227,80,18,30,70,67,16,14,5,7,2,17,0,0,0,12765,341,0,5398,5739,0,0,0,0,0,,,,,5014,10753,23518
I,4,3,0,16,62,5,9,27,15,6,16,30,11,19,44,30,30,90,41,6,32,22,45,11,68,43,280,139,19,20,89,84,63,55,240,252,151,16,12,217,375,471,144,111,83,42,198,143,155,203,171,101,98,56,59,6,25,0,0,4786,7424,0,0,7424,0,0,0,0,0,,,,,0,7424,12210
J58,6,5,0,13,51,2,42,44,9,83,26,23,15,54,54,36,25,87,63,8,27,22,30,4,21,52,318,92,19,8,78,58,83,48,219,500,133,23,5,123,208,486,207,37,59,20,28,69,103,495,57,21,116,43,66,8,4,0,0,4631,1350,0,0,1350,0,0,-65,-65,-65,,,,,883,2167,6798
J59_60,0,0,0,0,1,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,159,2,0,0,1,61,39,668,489,38,0,0,0,8,79,21,1022,1,18,2,0,9,8,15,1,3,3,27,1,1,0,0,0,2709,1143,0,0,1143,39,0,5,5,44,,,,,406,1592,4301
J61,5,3,0,10,54,4,17,19,13,9,23,30,10,17,44,98,29,142,51,5,31,24,47,4,9,54,362,93,10,0,213,85,71,163,2025,310,176,19,65,299,275,224,64,27,71,17,17,95,458,96,101,107,18,33,41,11,6,0,0,6347,4587,0,9,4596,0,0,28,28,28,,,,,1177,5800,12148
J62_63,1,9,0,24,65,8,21,72,39,64,70,47,22,179,123,388,59,241,373,20,44,61,186,13,150,252,655,209,72,28,286,85,193,24,480,1256,108,31,24,137,397,694,219,133,248,86,99,238,335,167,107,39,49,20,21,33,22,0,0,9119,71,0,2,73,7576,0,11,11,7587,,,,,5473,13133,22252
K64,165,81,6,18,57,8,66,55,12,21,24,16,13,49,54,37,25,86,76,8,29,27,117,14,48,301,455,147,43,8,85,116,30,26,101,126,762,268,16,3425,171,184,61,52,68,26,40,140,227,58,25,47,56,30,39,10,40,0,0,8320,4124,0,0,4124,0,0,0,0,0,,,,,1236,5359,13679
K65,17,3,0,3,9,1,9,14,2,12,2,2,2,13,8,2,1,8,10,1,1,2,64,46,21,13,39,65,34,0,29,6,4,1,32,23,3,519,1,328,8,14,2,1,12,4,7,6,46,8,4,5,3,3,5,0,2,0,0,1483,3268,0,1,3269,0,0,0,0,0,,,,,224,3493,4976
K66,7,2,0,4,14,1,46,60,0,17,11,7,3,38,34,23,17,68,78,5,21,14,25,6,3,6,31,15,19,0,11,3,0,0,47,26,313,272,12,72,9,28,3,0,9,2,18,3,0,0,0,0,0,0,0,1,0,0,0,1409,98,0,0,98,0,0,0,0,0,,,,,94,192,1602
L,1,2,0,29,178,9,33,35,162,17,66,68,33,39,233,142,109,196,118,27,67,88,96,9,64,205,3111,249,14,7,433,1654,176,149,288,758,607,118,175,1616,984,1124,175,189,387,120,50,410,1656,2475,1329,1457,359,478,105,27,260,0,0,23255,33556,135,7,33698,388,0,0,0,388,0,0,0,0,0,34086,57341
M69_70,61,22,0,42,319,19,126,96,47,55,101,135,54,281,276,287,147,389,355,54,190,72,334,31,208,148,1693,244,115,45,319,188,357,111,411,1057,613,55,42,439,1476,757,378,239,326,198,141,571,533,172,195,62,83,76,149,25,47,0,0,15063,41,0,174,215,0,0,44,44,44,,,,,5248,5507,20570
M71-72,5,11,0,139,69,6,55,53,20,25,93,49,29,25,99,74,55,159,242,15,45,43,89,12,123,6106,308,195,22,31,224,60,49,19,190,122,42,16,5,182,161,1168,23,85,76,26,9,88,343,97,130,37,46,16,28,6,23,0,0,11518,101,40,2310,2450,14029,0,-29,-29,14000,0,0,0,0,4597,21047,32565
M73,1,9,0,16,302,6,36,64,33,21,80,40,25,29,98,74,48,183,202,11,53,40,67,8,49,74,961,58,30,12,111,95,144,129,251,207,102,25,30,281,139,231,508,150,248,25,36,87,147,53,92,12,50,52,50,10,9,0,0,6250,0,0,0,0,0,0,31,31,31,,,,,951,983,7233
M74_75,71,3,0,7,63,3,17,26,16,9,21,25,12,11,41,42,23,90,102,7,24,16,37,5,33,29,398,50,13,1,65,26,36,8,233,119,103,10,11,62,135,208,116,117,89,81,5,254,94,47,35,24,28,24,18,5,16,0,0,3209,336,0,0,336,0,0,-15,-15,-15,,,,,434,755,3964
N77,12,3,0,18,70,8,54,47,47,2,15,20,16,51,71,140,59,133,49,6,23,37,17,51,64,313,1621,290,53,271,302,91,145,426,186,202,37,4,25,85,155,406,50,34,192,34,12,83,83,52,20,28,53,29,39,12,15,0,0,6521,1734,0,0,1734,0,0,0,0,0,,,,,4846,6580,13100
N78,0,0,0,33,70,2,20,8,7,52,25,13,12,59,30,97,83,122,81,59,47,110,159,5,45,180,314,47,9,70,127,50,68,27,132,363,37,30,28,64,116,363,36,20,74,82,5,76,9,93,293,99,53,5,4,8,5,0,0,4042,0,0,0,0,0,0,0,0,0,,,,,0,0,4042
N79,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,2,0,4,5,0,1,1,0,0,0,11,30,10,4,0,8,14,5,3,2,29,4,1,0,6,16,18,5,7,4,3,172,6,9,9,7,8,7,3,3,1,0,0,0,427,1969,0,48,2016,0,0,0,0,0,,,,,1342,3359,3785
N80-82,11,9,0,37,138,6,45,108,33,28,78,71,34,53,117,111,64,232,309,14,76,50,98,7,86,146,739,163,22,19,174,67,72,16,286,236,320,69,26,2348,288,365,156,127,146,92,10,359,327,180,291,163,181,85,66,12,31,0,0,9459,453,0,0,453,0,0,0,0,0,,,,,282,735,10195
O,18,5,0,12,61,5,28,32,8,26,14,14,8,25,59,15,11,59,50,5,21,13,100,8,16,135,96,79,8,1,130,50,18,18,28,45,45,11,6,124,41,67,11,11,23,8,18,28,268,624,28,595,52,59,17,2,9,0,0,3304,245,0,19401,19647,0,0,0,0,0,,,,,349,19995,23299
P,0,1,0,2,9,1,9,32,1,15,1,3,15,15,19,1,11,18,23,1,1,4,3,0,5,12,52,28,0,42,91,11,21,2,4,109,18,14,16,50,82,79,38,6,29,4,3,11,246,263,88,44,9,13,27,2,2,0,0,1607,1087,672,22502,24261,0,0,0,0,0,,,,,158,24419,26026
Q86,5,3,0,2,8,1,4,7,1,1,1,6,1,3,11,2,2,17,10,2,6,4,9,5,1,24,45,13,1,1,8,12,6,5,11,14,9,3,2,21,14,33,3,5,6,3,2,12,41,42,835,100,9,7,8,0,3,0,0,1419,3057,27,20760,23843,0,0,0,0,0,,,,,84,23927,25346
Q87_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,21,3670,207,16817,20695,0,0,0,0,0,,,,,0,20695,20716
R90-92,0,0,0,1,0,0,0,6,4,0,0,0,0,0,1,0,0,3,30,0,0,0,0,0,0,58,52,4,0,0,22,28,45,200,0,21,7,0,0,58,65,20,3,0,12,2,49,4,51,24,0,16,316,89,1,1,0,0,0,1191,1840,103,1549,3492,221,68,0,68,288,,,,,23,3803,4994
R93,0,0,0,2,9,1,5,7,2,1,3,3,2,3,9,7,3,22,24,1,2,5,14,1,7,52,97,22,5,1,14,17,12,6,31,39,26,7,3,42,44,54,13,11,15,7,2,22,22,19,16,20,13,9,7,2,3,0,0,792,1362,525,1049,2936,0,0,0,0,0,,,,,0,2936,3728
S94,5,3,0,4,21,4,18,20,3,8,6,12,5,18,20,12,7,27,31,3,14,7,14,9,36,22,72,44,4,1,37,20,8,5,46,27,25,2,0,26,24,52,13,7,14,5,6,21,4,10,1,0,2,3,16,1,7,0,0,845,9,3662,4,3675,0,0,0,0,0,,,,,0,3675,4520
S95,0,0,0,2,19,4,14,8,3,7,4,4,10,9,21,12,24,18,19,2,9,6,24,18,16,4,55,15,1,0,22,22,15,1,41,29,2,1,12,65,17,50,10,7,15,3,5,13,92,23,16,11,5,4,13,1,4,0,0,832,114,0,0,114,0,0,0,0,0,,,,,0,114,946
S96,0,0,0,1,4,1,2,3,0,0,1,1,1,1,4,2,1,9,3,0,2,2,0,0,1,6,13,43,4,1,25,51,8,2,12,23,7,4,0,6,45,16,17,8,5,6,1,18,17,19,116,36,5,4,8,1,6,0,0,573,2305,0,0,2305,0,0,0,0,0,,,,,0,2305,2879
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,113,0,0,0,0,0,,,,,0,113,113
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
TOTAL,3285,772,94,2163,10468,708,6433,9115,1713,9644,4682,2541,2146,11191,7027,5593,3763,10368,11644,1281,2932,2821,5532,854,2920,20311,23962,8908,2599,1759,14161,6553,3192,2311,6584,8681,4065,1745,564,23831,7199,12367,3690,1735,4814,1293,2140,3830,8384,7365,7381,3865,2288,1853,1490,395,952,0,0,323055,142071,5370,92701,240142,75210,68,2351,2418,77629,,,,,163768,481538,804593
P2_ADJ,3480,862,94,2210,10505,724,6491,9218,1723,9659,4737,2578,2201,11265,7104,5655,3793,10529,11808,1295,2986,2859,5845,889,3027,20759,24624,9838,2618,1764,14898,6973,3242,2404,6707,8932,4590,1894,657,27581,7385,12837,3767,1769,4929,1322,3124,3974,9954,8333,8300,4445,2557,2036,1799,404,971,0,0,340086,166025,5370,92937,264332,82132,83,2351,2434,84565,,,,,170459,519356,859442
D1,955,703,28,562,2143,280,1209,1444,699,161,931,842,585,1366,2674,1506,1068,3122,2279,516,1074,1084,1547,283,628,11105,19721,4416,511,385,2720,3744,1682,664,1182,6411,3481,1097,746,4589,5200,7442,1233,735,2272,2152,446,3781,8523,13005,12205,13173,1161,1213,2274,326,721,101,0,167826,,,,,,,,,,,,,,,,
D11,871,620,25,476,1820,238,1035,1218,596,134,774,717,494,1155,2276,1232,891,2617,1911,427,904,908,1260,239,530,9486,16653,3775,426,312,2262,3267,1373,550,957,5239,2815,890,607,3849,4263,6096,1013,606,1914,1799,365,3240,7118,11105,10307,11388,994,1056,1876,275,637,91,0,141385,,,,,,,,,,,,,,,,
D29X39,-584,158,-2,103,366,53,176,286,61,31,155,134,105,236,481,269,183,545,394,85,193,198,997,62,130,2075,3442,872,-99,71,510,641,38,-1,222,1117,867,212,136,2997,960,880,222,140,384,359,79,268,1499,2599,2344,2694,-14,100,362,57,160,12,0,31338,,,,,,,,,,,,,,,,
P51C,1005,536,18,551,634,99,401,1017,173,146,569,249,180,729,701,2507,433,1173,1607,377,313,346,2388,504,459,1847,4831,1688,312,235,3091,592,490,249,1349,2179,1108,568,202,9110,1082,4262,172,135,1695,175,54,593,3288,1320,1364,265,392,324,243,58,99,0,0,61582,,,,,,,,,,,,,,,,
B2A3N,1,2281,27,1820,919,22,305,463,-82,440,807,231,162,68,856,816,160,1698,666,254,331,204,4017,-43,183,4051,6986,871,-103,-55,699,242,627,582,1277,1732,2935,1030,-273,13065,1879,1827,256,486,2150,34,82,817,18,649,1062,139,789,55,-159,100,928,0,0,63747,,,,,,,,,,,,,,,,
B2A3G,1006,2817,45,2371,1553,121,707,1480,90,586,1376,480,342,798,1557,3323,593,2871,2273,631,644,550,6405,461,642,5899,11817,2560,209,180,3790,834,1117,832,2627,3911,4043,1598,-71,22175,2962,6088,428,621,3845,209,136,1410,3306,1969,2426,404,1181,379,84,158,1027,0,0,125329,,,,,,,,,,,,,,,,
B3G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1G,1377,3678,71,3036,4063,454,2092,3209,850,778,2461,1456,1032,2400,4713,5098,1844,6539,4945,1232,1911,1833,8949,806,1399,19079,34980,7848,621,635,7020,5219,2837,1494,4030,11438,8392,2907,812,29760,9122,14410,1882,1496,6501,2720,661,5460,13327,17572,16975,16271,2327,1692,2721,542,1908,113,0,324493,,,,,,,,,,,,,,,,
P1,4857,4540,166,5246,14567,1178,8583,12427,2573,10437,7198,4034,3233,13665,11817,10753,5638,17067,16754,2527,4898,4692,14794,1695,4427,39837,59603,17686,3239,2399,21917,12192,6080,3898,10737,20370,12982,4801,1469,57341,16506,27248,5650,3265,11430,4042,3785,9433,23282,25905,25276,20716,4885,3728,4520,946,2879,113,0,664579,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21X31,193,86,1,33,5,7,40,71,2,9,26,11,38,42,25,10,8,34,42,4,12,12,281,34,85,397,500,891,2,4,636,401,10,74,38,90,517,141,85,3723,86,269,20,15,70,14,17,111,1559,894,919,572,235,171,296,3,15,0,0,13918,23491,0,236,23727,6921,15,0,15,6937,,,,,2,30665,44584
P7_B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7_U3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7_D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,1917,375,1554,9705,7343,4745,1087,1845,13,5760,8720,3426,1435,6642,3106,14370,5829,10415,11534,1345,3758,382,962,0,972,0,1056,2868,1624,2329,1601,18,718,403,1410,1882,698,175,133,0,4064,5318,1583,699,1670,0,0,761,18,121,70,0,110,0,0,0,0,0,0,140014,,,,,,,,,,,,,,,,
TS_BP,6775,4915,1719,14951,21910,5923,9670,14272,2587,16197,15918,7460,4668,20307,14923,25123,11466,27482,28288,3872,8656,5074,15755,1695,5399,39837,60659,20554,4863,4728,23518,12210,6798,4301,12148,22252,13679,4976,1602,57341,20570,32565,7233,3964,13100,4042,3785,10195,23299,26026,25346,20716,4994,3728,4520,946,2879,113,0,804593,,,,,,,,,,,,,,,,
