NACE_R2,SK
A01,6032
A02,1479
A03,3
B,3136
C10-12,3848
C13-15,980
C16,904
C17,2398
C18,498
C19,3409
C20,2462
C21,590
C22,2077
C23,2890,
C24,4030
C25,2411
C26,1587
C27,1879
C28,2846
C29,7348
C30,283
C31_32,938
C33,688
D,38339
E36,9092
E37-39,806
F,2695
G45,1296
G46,4190
G47,5739
H49,4882
H50,187
H51,78
H52,17077
H53,674
I,1772
J58,94
J59_60,416
J61,7125
J62_63,373
K64,2318
K65,358
K66,34
L,16927
M69_70,371
M71,1367
M72,566
M73,102
M74_75,504
N77,713
N78,45
N79,24
N80-82,654
O,42443
P,6767
Q86,3228
Q87_88,443
R90-92,1623
R93,806
S94,573
S95,41
S96,100